epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,165013,0.20569,0.30074,0.90433,0.84959,0.69059,0.77861,0.73705,0.40718,0.7625,0.86548,0.005479,0.005479,0.005479
139,165099,0.20573,0.30231,0.90469,0.84964,0.68634,0.77844,0.73683,0.40712,0.76212,0.86586,0.005446,0.005446,0.005446
140,165184,0.20611,0.30032,0.90454,0.84807,0.6857,0.778,0.73628,0.40714,0.76255,0.86612,0.005413,0.005413,0.005413
141,165270,0.20481,0.30126,0.90404,0.85096,0.68546,0.77779,0.73576,0.40675,0.76355,0.8659,0.00538,0.00538,0.00538
142,165355,0.20278,0.29725,0.90444,0.857,0.68117,0.77731,0.73524,0.40636,0.76356,0.86563,0.005347,0.005347,0.005347
143,165440,0.20226,0.29538,0.90276,0.73046,0.75701,0.77691,0.7354,0.40628,0.7636,0.8659,0.005314,0.005314,0.005314
144,165526,0.20453,0.2982,0.90441,0.73238,0.75842,0.77605,0.73386,0.40632,0.76338,0.86625,0.005281,0.005281,0.005281
145,165614,0.20104,0.29465,0.90374,0.73034,0.76341,0.77599,0.73442,0.40641,0.7639,0.86645,0.005248,0.005248,0.005248
146,165701,0.19788,0.29017,0.89908,0.73121,0.76246,0.7756,0.73396,0.40637,0.76647,0.86667,0.005215,0.005215,0.005215
147,165787,0.19778,0.28929,0.89989,0.74108,0.7605,0.77613,0.73367,0.40615,0.76747,0.86695,0.005182,0.005182,0.005182
148,165873,0.19811,0.29367,0.90217,0.74067,0.76179,0.77613,0.73433,0.4064,0.7699,0.86727,0.005149,0.005149,0.005149
149,165959,0.19725,0.28899,0.90016,0.73316,0.76512,0.77545,0.73308,0.40649,0.76864,0.86759,0.005116,0.005116,0.005116
150,166045,0.19791,0.2898,0.90014,0.73781,0.76148,0.77534,0.73424,0.40622,0.77045,0.86748,0.005083,0.005083,0.005083
151,166132,0.19693,0.29378,0.90018,0.73465,0.76419,0.77514,0.73312,0.40596,0.77183,0.86757,0.00505,0.00505,0.00505
152,166218,0.19446,0.28621,0.89898,0.73767,0.76361,0.77493,0.73231,0.40573,0.7728,0.86746,0.005017,0.005017,0.005017
153,166304,0.19685,0.28739,0.90181,0.73802,0.76299,0.77489,0.73234,0.40537,0.77156,0.86719,0.004984,0.004984,0.004984
154,166390,0.19373,0.28187,0.89828,0.74025,0.76319,0.77425,0.73247,0.40501,0.77294,0.86708,0.004951,0.004951,0.004951
155,166476,0.1909,0.28462,0.90116,0.73019,0.76368,0.7738,0.73337,0.40488,0.77697,0.86723,0.004918,0.004918,0.004918
156,166563,0.18878,0.28208,0.89735,0.72927,0.76372,0.77344,0.73285,0.40464,0.77687,0.86729,0.004885,0.004885,0.004885
157,166649,0.18781,0.28171,0.8974,0.73102,0.76439,0.77354,0.7329,0.4051,0.77655,0.86845,0.004852,0.004852,0.004852
158,166735,0.18956,0.28314,0.90068,0.73288,0.75854,0.7737,0.73224,0.40512,0.77642,0.8687,0.004819,0.004819,0.004819
159,166821,0.18674,0.28319,0.89713,0.7331,0.75781,0.77375,0.73205,0.40531,0.77652,0.86907,0.004786,0.004786,0.004786
160,166907,0.1878,0.27815,0.89823,0.73049,0.75844,0.77292,0.73137,0.40536,0.77719,0.86929,0.004753,0.004753,0.004753
161,166992,0.18791,0.28155,0.89777,0.72803,0.75659,0.77238,0.73068,0.40496,0.7772,0.86909,0.00472,0.00472,0.00472
162,167078,0.18918,0.2799,0.89748,0.73005,0.75662,0.77182,0.72981,0.40473,0.77778,0.869,0.004687,0.004687,0.004687
163,167164,0.18204,0.27183,0.89553,0.73044,0.75734,0.77172,0.73011,0.40485,0.77907,0.86938,0.004654,0.004654,0.004654
164,167250,0.1853,0.27386,0.89701,0.72855,0.75821,0.77213,0.73066,0.40483,0.77962,0.86968,0.004621,0.004621,0.004621
165,167336,0.18536,0.27415,0.89712,0.73021,0.75903,0.77154,0.72991,0.40488,0.78015,0.86995,0.004588,0.004588,0.004588
166,167422,0.18364,0.2704,0.89512,0.8227,0.68926,0.77179,0.73087,0.40492,0.77997,0.87013,0.004555,0.004555,0.004555
167,167508,inf,0.2768,0.89455,0.72214,0.75981,0.77182,0.72949,0.40503,0.78019,0.8704,0.004522,0.004522,0.004522
168,167594,0.18174,0.27187,0.89328,0.72333,0.75926,0.77257,0.73131,0.40467,0.78053,0.8703,0.004489,0.004489,0.004489
169,167680,0.17973,0.26911,0.89442,0.72973,0.75819,0.77365,0.73114,0.40436,0.78251,0.87035,0.004456,0.004456,0.004456
170,167766,0.18109,0.2702,0.89333,0.73061,0.75802,0.7737,0.73142,0.40353,0.78417,0.86939,0.004423,0.004423,0.004423
171,167852,0.17692,0.26899,0.89397,0.70029,0.80101,0.77284,0.73089,0.40381,0.78758,0.86989,0.00439,0.00439,0.00439
